forecast_termin,runended,time,temperature,windDirection,windSpeed_mps,windSpeed_beaufort,windSpeed_name,windGust,humidity,pressure,cloudiness,lowClouds,mediumClouds,highClouds,dewpointTemperature,windSpeed_kmh,row_id,location
2025-01-02T13:00:00Z,2025-01-02T13:17:36Z,2025-01-02T16:00:00Z,17,24.5,5.5,4,Laber bris,,45,1019.5,77.3,0,77.3,0,5.1,19.8,1,Stanley
2025-01-02T13:00:00Z,2025-01-02T13:17:36Z,2025-01-02T17:00:00Z,16.2,18.9,7.4,4,Laber bris,,38.9,1019.7,35.2,0,35.2,0,2.2,26.64,2,Stanley
2025-01-02T13:00:00Z,2025-01-02T13:17:36Z,2025-01-02T18:00:00Z,15.4,15.3,8.2,5,Frisk bris,,39.7,1019.6,39.1,0,39.1,0,1.6,29.52,3,Stanley
2025-01-02T13:00:00Z,2025-01-02T13:17:36Z,2025-01-02T19:00:00Z,14.7,17.3,8.1,5,Frisk bris,,40.7,1019.5,54.7,0,54.7,0,1.4,29.16,4,Stanley
2025-01-02T13:00:00Z,2025-01-02T13:17:36Z,2025-01-02T20:00:00Z,14.4,19.9,8.2,5,Frisk bris,,42.1,1019.1,63.3,0,63.3,0,1.6,29.52,5,Stanley
2025-01-02T13:00:00Z,2025-01-02T13:17:36Z,2025-01-02T21:00:00Z,14.2,20.3,7.9,4,Laber bris,,42.9,1018.8,59.4,0,57.8,2.3,1.7,28.44,6,Stanley
2025-01-02T13:00:00Z,2025-01-02T13:17:36Z,2025-01-02T22:00:00Z,13.7,19.3,8.1,5,Frisk bris,,43.6,1019.1,0,0,0,0,1.5,29.16,7,Stanley
2025-01-02T13:00:00Z,2025-01-02T13:17:36Z,2025-01-02T23:00:00Z,13.1,16.4,8.4,5,Frisk bris,,44.3,1020,0,0,0,0,1.2,30.24,8,Stanley
2025-01-02T13:00:00Z,2025-01-02T13:17:36Z,2025-01-03T00:00:00Z,13.3,15.4,8.6,5,Frisk bris,,43.1,1020.8,0,0,0,0,1,30.96,9,Stanley
2025-01-02T13:00:00Z,2025-01-02T13:17:36Z,2025-01-03T01:00:00Z,14.5,15.9,8.8,5,Frisk bris,,40.1,1021.3,10.2,0,0,10.2,1.1,31.68,10,Stanley
